localDate,instrument,barValue,barType,daysLoaded,LookbackSetting,LookbackSources,SwingStrength,VolOffSetCheck,VolOffsetRatio
2020061921,NQ 06-20,60,60 Minute,180,7142128,daysAgo,5,True,1.5
CurrentBar,Time,Open,High,Low,Close,TrendPlot,BarsToNextSignal,BarsFromPreviousSignal,SignalPattern,BuySignalStopLine,SellSignalStopLine,DotPrice,OpenPrice
1601,3/31/2020 6:00:00 PM,7710.75,7744.75,7687.5,7738.25,7651.21340144376,3,1,1,0,0,7587.75,7731.25
1602,3/31/2020 7:00:00 PM,7739.5,7740.5,7700,7730.5,7652.6520229075,2,2,1,0,0,7587.75,7731.25
1603,3/31/2020 8:00:00 PM,7728.5,7741.25,7713,7723.25,7653.93876633051,1,3,1,0,0,7587.75,7731.25
1604,3/31/2020 9:00:00 PM,7722.25,7724.75,7690.25,7692.75,7655.08440655646,2,0,6,0,7833.25,7833.25,7722.25
1605,3/31/2020 10:00:00 PM,7691.75,7701.5,7663.5,7687.5,7655.70697834891,1,1,6,0,7833.25,7833.25,7722.25
1606,3/31/2020 11:00:00 PM,7688.25,7694.5,7573.75,7603.75,7656.23248283901,4,0,1,0,7833.25,7581.5,7688.25
1607,4/1/2020 12:00:00 AM,7602.5,7607,7527.25,7598.25,7655.36500378382,3,1,1,0,0,7581.5,7688.25
1608,4/1/2020 1:00:00 AM,7599.25,7634,7555.75,7601.25,7654.4209541345,2,2,1,0,0,7581.5,7688.25
1609,4/1/2020 2:00:00 AM,7602.5,7618.75,7544,7580.25,7653.54209538848,1,3,1,0,0,7581.5,7688.25
1610,4/1/2020 3:00:00 AM,7580.5,7616,7565.5,7596.25,7652.33065579528,5,0,2,0,0,7722.25,7580.5
1611,4/1/2020 4:00:00 AM,7595.5,7621,7559.5,7575.75,7651.40370280693,4,1,2,0,0,7722.25,7580.5
1612,4/1/2020 5:00:00 AM,7574,7594.25,7555.5,7570.75,7650.15322838037,3,2,2,0,0,7722.25,7580.5
1613,4/1/2020 6:00:00 AM,7569.75,7591.75,7524.25,7566.75,7648.8407783245,2,3,2,0,0,7722.25,7580.5
